Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-42.60000E-006,-36.40000E-012,9.85900E-003,0.00000E+000,9.15700E-006,9.85900E-003
1,1,2,-40.00000E-006,-38.00000E-012,178.43800E-003,42.00000E-003,13.59900E-006,178.43800E-003
1,1,3,-43.90000E-006,-32.30000E-012,346.67000E-003,84.00000E-003,13.75600E-006,346.67000E-003
1,1,4,-41.70000E-006,-41.30000E-012,514.94900E-003,126.00000E-003,7.38400E-006,514.94900E-003
1,1,5,-42.20000E-006,-35.90000E-012,706.32200E-003,168.00000E-003,-8.61700E-006,706.32200E-003
1,1,6,-46.50000E-006,-38.90000E-012,874.60200E-003,210.00000E-003,-606.00000E-009,874.60200E-003
1,1,7,-42.80000E-006,-34.90000E-012,1.04290E+000,252.00000E-003,9.11900E-006,1.04290E+000
1,1,8,-44.30000E-006,-39.30000E-012,1.22024E+000,294.00000E-003,-15.00100E-006,1.22024E+000
1,1,9,-44.50000E-006,-46.40000E-012,1.38848E+000,336.00000E-003,-12.94600E-006,1.38848E+000
1,1,10,-40.10000E-006,-33.10000E-012,1.55672E+000,378.00000E-003,-5.29700E-006,1.55672E+000
1,1,11,-42.10000E-006,-25.40000E-012,1.72501E+000,420.00000E-003,3.37800E-006,1.72501E+000
1,1,12,-44.40000E-006,-25.90000E-012,1.89323E+000,462.00000E-003,9.83600E-006,1.89323E+000
1,1,13,-39.60000E-006,-29.10000E-012,2.06149E+000,504.00000E-003,14.45500E-006,2.06149E+000
1,1,14,-43.20000E-006,-35.00000E-012,2.22976E+000,546.00000E-003,13.32900E-006,2.22976E+000
1,1,15,-43.80000E-006,-55.50000E-012,2.39803E+000,588.00000E-003,6.09700E-006,2.39803E+000
1,1,16,-39.50000E-006,-34.10000E-012,2.56628E+000,630.00000E-003,-2.29500E-006,2.56628E+000
1,1,17,-42.90000E-006,-14.40000E-012,2.73455E+000,672.00000E-003,-9.62400E-006,2.73455E+000
