Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time,(REF) CH1 Voltage,(REF) CH1 Current,(REF) CH1 Time,(REF) CH2 Voltage,(REF) CH2 Current,(REF) CH2 Time
1,1,1,-20.00000E-006,-15.50000E-012,51.35700E-003,0.00000E+000,-13.53700E-006,51.35700E-003,-20.00000E-006,-15.50000E-012,51.35700E-003,0.00000E+000,-13.53700E-006,51.35700E-003
1,1,2,-19.40000E-006,19.10000E-012,222.57600E-003,42.00000E-003,9.15500E-006,222.57600E-003,-19.40000E-006,19.10000E-012,222.57600E-003,42.00000E-003,9.15500E-006,222.57600E-003
1,1,3,-18.80000E-006,21.10000E-012,404.04200E-003,84.00000E-003,-1.43400E-006,404.04200E-003,-18.80000E-006,21.10000E-012,404.04200E-003,84.00000E-003,-1.43400E-006,404.04200E-003
1,1,4,-19.90000E-006,-100.00000E-015,572.28700E-003,126.00000E-003,8.36000E-006,572.28700E-003,-19.90000E-006,-100.00000E-015,572.28700E-003,126.00000E-003,8.36000E-006,572.28700E-003
1,1,5,-18.30000E-006,-400.00000E-015,749.22600E-003,168.00000E-003,-13.25000E-006,749.22600E-003,-18.30000E-006,-400.00000E-015,749.22600E-003,168.00000E-003,-13.25000E-006,749.22600E-003
1,1,6,-19.00000E-006,-12.10000E-012,917.47800E-003,210.00000E-003,-13.53200E-006,917.47800E-003,-19.00000E-006,-12.10000E-012,917.47800E-003,210.00000E-003,-13.53200E-006,917.47800E-003
1,1,7,-20.30000E-006,1.50000E-012,1.08571E+000,252.00000E-003,-8.53500E-006,1.08571E+000,-20.30000E-006,1.50000E-012,1.08571E+000,252.00000E-003,-8.53500E-006,1.08571E+000
1,1,8,-18.10000E-006,-3.10000E-012,1.26360E+000,294.00000E-003,-6.84400E-006,1.26360E+000,-18.10000E-006,-3.10000E-012,1.26360E+000,294.00000E-003,-6.84400E-006,1.26360E+000
1,1,9,-13.40000E-006,-5.20000E-012,1.43186E+000,336.00000E-003,-12.18000E-006,1.43186E+000,-13.40000E-006,-5.20000E-012,1.43186E+000,336.00000E-003,-12.18000E-006,1.43186E+000
1,1,10,-3.20000E-006,-2.00000E-012,1.60016E+000,378.00000E-003,-14.54400E-006,1.60016E+000,-3.20000E-006,-2.00000E-012,1.60016E+000,378.00000E-003,-14.54400E-006,1.60016E+000
1,1,11,-15.40000E-006,-8.40000E-012,1.76886E+000,420.00000E-003,-8.66600E-006,1.76886E+000,-15.40000E-006,-8.40000E-012,1.76886E+000,420.00000E-003,-8.66600E-006,1.76886E+000
1,1,12,-19.40000E-006,-6.50000E-012,1.93713E+000,462.00000E-003,-873.00000E-009,1.93713E+000,-19.40000E-006,-6.50000E-012,1.93713E+000,462.00000E-003,-873.00000E-009,1.93713E+000
1,1,13,-19.70000E-006,-4.20000E-012,2.10541E+000,504.00000E-003,8.88400E-006,2.10541E+000,-19.70000E-006,-4.20000E-012,2.10541E+000,504.00000E-003,8.88400E-006,2.10541E+000
1,1,14,-17.70000E-006,-10.00000E-012,2.27369E+000,546.00000E-003,13.13100E-006,2.27369E+000,-17.70000E-006,-10.00000E-012,2.27369E+000,546.00000E-003,13.13100E-006,2.27369E+000
1,1,15,-19.00000E-006,-7.90000E-012,2.44227E+000,588.00000E-003,13.72800E-006,2.44227E+000,-19.00000E-006,-7.90000E-012,2.44227E+000,588.00000E-003,13.72800E-006,2.44227E+000
1,1,16,-19.00000E-006,-8.70000E-012,2.61056E+000,630.00000E-003,7.56900E-006,2.61056E+000,-19.00000E-006,-8.70000E-012,2.61056E+000,630.00000E-003,7.56900E-006,2.61056E+000
1,1,17,-17.70000E-006,-9.30000E-012,2.77885E+000,672.00000E-003,-835.00000E-009,2.77885E+000,-17.70000E-006,-9.30000E-012,2.77885E+000,672.00000E-003,-835.00000E-009,2.77885E+000
1,1,18,-19.10000E-006,-4.00000E-012,2.94708E+000,714.00000E-003,-9.11500E-006,2.94708E+000,-19.10000E-006,-4.00000E-012,2.94708E+000,714.00000E-003,-9.11500E-006,2.94708E+000
1,1,19,-19.10000E-006,-6.80000E-012,3.11536E+000,756.00000E-003,-13.20800E-006,3.11536E+000,-19.10000E-006,-6.80000E-012,3.11536E+000,756.00000E-003,-13.20800E-006,3.11536E+000
1,1,20,-17.70000E-006,-9.30000E-012,3.28364E+000,798.00000E-003,-13.49800E-006,3.28364E+000,-17.70000E-006,-9.30000E-012,3.28364E+000,798.00000E-003,-13.49800E-006,3.28364E+000
