Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2 Voltage,CH2 Current,CH2 Time
1,1,1,-51.20000E-006,-27.50000E-012,10.26200E-003,0.00000E+000,-9.19200E-006,10.26200E-003
1,1,2,-52.80000E-006,-19.80000E-012,178.87200E-003,42.00000E-003,398.00000E-009,178.87200E-003
1,1,3,-47.90000E-006,29.10000E-012,347.13000E-003,84.00000E-003,9.19400E-006,347.13000E-003
1,1,4,-51.20000E-006,-9.10000E-012,515.35200E-003,126.00000E-003,13.30200E-006,515.35200E-003
1,1,5,-51.00000E-006,-43.70000E-012,706.72500E-003,168.00000E-003,-12.98000E-006,706.72500E-003
1,1,6,-47.50000E-006,-7.40000E-012,874.98300E-003,210.00000E-003,-14.31000E-006,874.98300E-003
1,1,7,-52.10000E-006,100.00000E-015,1.04322E+000,252.00000E-003,-9.60800E-006,1.04322E+000
1,1,8,-52.50000E-006,12.10000E-012,1.21988E+000,294.00000E-003,2.14700E-006,1.21988E+000
1,1,9,-52.10000E-006,5.40000E-012,1.38813E+000,336.00000E-003,-7.35500E-006,1.38813E+000
1,1,10,-56.20000E-006,-8.60000E-012,1.55636E+000,378.00000E-003,-12.46600E-006,1.55636E+000
1,1,11,-51.80000E-006,8.30000E-012,1.72463E+000,420.00000E-003,-14.77900E-006,1.72463E+000
1,1,12,-48.80000E-006,-5.40000E-012,1.89360E+000,462.00000E-003,-7.18700E-006,1.89360E+000
1,1,13,-50.50000E-006,-16.60000E-012,2.06185E+000,504.00000E-003,1.20500E-006,2.06185E+000
1,1,14,-47.30000E-006,-10.40000E-012,2.23012E+000,546.00000E-003,9.42100E-006,2.23012E+000
1,1,15,-49.00000E-006,1.20000E-012,2.39836E+000,588.00000E-003,13.36800E-006,2.39836E+000
1,1,16,-53.10000E-006,-35.20000E-012,2.56659E+000,630.00000E-003,13.55500E-006,2.56659E+000
1,1,17,-47.50000E-006,-14.50000E-012,2.73486E+000,672.00000E-003,8.51500E-006,2.73486E+000
1,1,18,-50.00000E-006,-42.40000E-012,2.90309E+000,714.00000E-003,472.00000E-009,2.90309E+000
1,1,19,-52.90000E-006,-29.80000E-012,3.07133E+000,756.00000E-003,-8.90700E-006,3.07133E+000
1,1,20,-47.60000E-006,-39.90000E-012,3.23961E+000,798.00000E-003,-13.26800E-006,3.23961E+000
1,1,21,-54.40000E-006,-43.30000E-012,3.40786E+000,840.00000E-003,-13.75900E-006,3.40786E+000
1,1,22,-56.60000E-006,-41.60000E-012,3.57609E+000,882.00000E-003,-8.94600E-006,3.57609E+000
1,1,23,-50.90000E-006,-88.80000E-012,3.74435E+000,924.00000E-003,-1.63600E-006,3.74435E+000
1,1,24,-51.90000E-006,-41.20000E-012,3.91261E+000,965.90000E-003,8.20100E-006,3.91261E+000
1,1,25,-52.70000E-006,-58.90000E-012,4.08086E+000,1.00800E+000,13.04400E-006,4.08086E+000
1,1,26,-47.20000E-006,-32.60000E-012,4.24912E+000,1.05000E+000,14.29100E-006,4.24912E+000
1,1,27,-51.20000E-006,-14.40000E-012,4.41737E+000,1.09200E+000,9.75900E-006,4.41737E+000
1,1,28,-51.90000E-006,4.30000E-012,4.58561E+000,1.13400E+000,2.56400E-006,4.58561E+000
1,1,29,-47.30000E-006,9.60000E-012,4.75386E+000,1.17600E+000,-6.90800E-006,4.75386E+000
1,1,30,-51.90000E-006,24.90000E-012,4.92210E+000,1.21790E+000,-12.12100E-006,4.92210E+000
1,1,31,-51.30000E-006,23.80000E-012,5.09035E+000,1.26000E+000,-14.74500E-006,5.09035E+000
1,1,32,-47.80000E-006,31.70000E-012,5.25870E+000,1.30200E+000,-10.65300E-006,5.25870E+000
1,1,33,-54.00000E-006,30.20000E-012,5.42693E+000,1.34400E+000,-3.11200E-006,5.42693E+000
1,1,34,-53.40000E-006,11.80000E-012,5.59535E+000,1.38600E+000,7.02900E-006,5.59535E+000
1,1,35,-51.80000E-006,-22.20000E-012,5.76361E+000,1.42800E+000,12.25100E-006,5.76361E+000
1,1,36,-54.60000E-006,2.60000E-012,5.93185E+000,1.47000E+000,14.42000E-006,5.93185E+000
1,1,37,-49.80000E-006,-4.60000E-012,6.10009E+000,1.51200E+000,11.32500E-006,6.10009E+000
1,1,38,-48.80000E-006,-13.60000E-012,6.26836E+000,1.55400E+000,3.44300E-006,6.26836E+000
1,1,39,-52.10000E-006,-3.80000E-012,6.43660E+000,1.59600E+000,-5.47400E-006,6.43660E+000
1,1,40,-48.90000E-006,-3.00000E-012,6.60483E+000,1.63800E+000,-11.07600E-006,6.60483E+000
1,1,41,-49.40000E-006,7.20000E-012,6.77328E+000,1.68000E+000,-14.47800E-006,6.77328E+000
1,1,42,-52.20000E-006,-5.10000E-012,6.94153E+000,1.72200E+000,-11.73700E-006,6.94153E+000
1,1,43,-48.20000E-006,-7.20000E-012,7.10976E+000,1.76400E+000,-3.69600E-006,7.10976E+000
1,1,44,-49.90000E-006,400.00000E-015,7.27801E+000,1.80600E+000,5.13400E-006,7.27801E+000
1,1,45,-53.30000E-006,-3.40000E-012,7.44628E+000,1.84800E+000,10.97400E-006,7.44628E+000
1,1,46,-51.00000E-006,-700.00000E-015,7.61452E+000,1.89000E+000,14.98800E-006,7.61452E+000
1,1,47,-54.30000E-006,6.60000E-012,7.78276E+000,1.93200E+000,12.52500E-006,7.78276E+000
1,1,48,-56.40000E-006,10.00000E-012,7.95153E+000,1.97400E+000,2.65500E-006,7.95153E+000
1,1,49,-47.90000E-006,6.20000E-012,8.11983E+000,2.01600E+000,-7.07600E-006,8.11983E+000
1,1,50,-51.00000E-006,6.50000E-012,8.28812E+000,2.05800E+000,-12.41300E-006,8.28812E+000
1,1,51,-51.90000E-006,4.10000E-012,8.45641E+000,2.10000E+000,-14.80700E-006,8.45641E+000
1,1,52,-46.80000E-006,-2.40000E-012,8.62463E+000,2.14200E+000,-10.99500E-006,8.62463E+000
1,1,53,-51.70000E-006,-12.10000E-012,8.79289E+000,2.18400E+000,-3.05300E-006,8.79289E+000
1,1,54,-51.90000E-006,-4.90000E-012,8.96114E+000,2.22600E+000,6.12100E-006,8.96114E+000
1,1,55,-47.60000E-006,-6.40000E-012,9.12941E+000,2.26800E+000,11.57100E-006,9.12941E+000
1,1,56,-52.00000E-006,-8.80000E-012,9.29767E+000,2.31000E+000,14.64800E-006,9.29767E+000
1,1,57,-50.40000E-006,-5.90000E-012,9.46592E+000,2.35200E+000,12.35500E-006,9.46592E+000
1,1,58,-50.00000E-006,-11.70000E-012,9.63422E+000,2.39400E+000,3.89300E-006,9.63422E+000
1,1,59,-56.00000E-006,-15.80000E-012,9.80247E+000,2.43600E+000,-4.92100E-006,9.80247E+000
1,1,60,-53.90000E-006,5.80000E-012,9.97102E+000,2.47800E+000,-12.10500E-006,9.97102E+000
1,1,61,-50.20000E-006,-8.60000E-012,10.13928E+000,2.52000E+000,-14.63200E-006,10.13928E+000
1,1,62,-52.60000E-006,-8.00000E-012,10.30753E+000,2.56200E+000,-11.45200E-006,10.30753E+000
1,1,63,-49.00000E-006,-9.50000E-012,10.47578E+000,2.60400E+000,-3.42300E-006,10.47578E+000
1,1,64,-49.00000E-006,-10.50000E-012,10.64407E+000,2.64590E+000,5.63700E-006,10.64407E+000
1,1,65,-52.50000E-006,-10.90000E-012,10.81232E+000,2.68800E+000,11.22300E-006,10.81232E+000
1,1,66,-48.80000E-006,-8.70000E-012,10.98054E+000,2.73000E+000,14.82400E-006,10.98054E+000
1,1,67,-49.40000E-006,-6.70000E-012,11.14884E+000,2.77200E+000,12.38000E-006,11.14884E+000
1,1,68,-52.30000E-006,-10.10000E-012,11.31712E+000,2.81400E+000,4.32000E-006,11.31712E+000
1,1,69,-48.00000E-006,-2.80000E-012,11.48534E+000,2.85600E+000,-4.20500E-006,11.48534E+000
1,1,70,-50.90000E-006,-3.80000E-012,11.65364E+000,2.89800E+000,-10.34800E-006,11.65364E+000
1,1,71,-56.00000E-006,-6.80000E-012,11.82213E+000,2.94000E+000,-14.61700E-006,11.82213E+000
1,1,72,-51.30000E-006,-9.60000E-012,11.99037E+000,2.98200E+000,-12.52800E-006,11.99037E+000
1,1,73,-54.80000E-006,-7.70000E-012,12.15871E+000,3.02400E+000,-3.76200E-006,12.15871E+000
1,1,74,-52.60000E-006,-5.70000E-012,12.32698E+000,3.06600E+000,4.89300E-006,12.32698E+000
1,1,75,-47.00000E-006,-8.40000E-012,12.49521E+000,3.10800E+000,10.60900E-006,12.49521E+000
1,1,76,-51.40000E-006,-3.60000E-012,12.66348E+000,3.15000E+000,15.06300E-006,12.66348E+000
1,1,77,-51.80000E-006,300.00000E-015,12.83175E+000,3.19200E+000,12.61100E-006,12.83175E+000
1,1,78,-47.40000E-006,-7.00000E-012,12.99998E+000,3.23400E+000,5.15500E-006,12.99998E+000
1,1,79,-51.30000E-006,-3.80000E-012,13.16826E+000,3.27600E+000,-3.62400E-006,13.16826E+000
1,1,80,-51.10000E-006,-4.10000E-012,13.33652E+000,3.31800E+000,-9.91700E-006,13.33652E+000
1,1,81,-47.40000E-006,-3.70000E-012,13.50477E+000,3.36000E+000,-14.74600E-006,13.50477E+000
1,1,82,-52.00000E-006,-3.90000E-012,13.67305E+000,3.40200E+000,-13.17100E-006,13.67305E+000
1,1,83,-53.30000E-006,-1.90000E-012,13.84132E+000,3.44400E+000,-5.67700E-006,13.84132E+000
1,1,84,-51.90000E-006,0.00000E+000,14.00956E+000,3.48600E+000,2.56700E-006,14.00956E+000
1,1,85,-55.60000E-006,-2.80000E-012,14.17785E+000,3.52800E+000,9.63000E-006,14.17785E+000
1,1,86,-51.40000E-006,-1.90000E-012,14.34611E+000,3.57000E+000,13.95000E-006,14.34611E+000
